sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
liddel44,,,,0,,"Theses de peste",,"Böckel, Johann#116223324",,,,,,,,Helmstedt,,Lucius,1591,,,Pathologie,,Book,lat,VD16,"ZV 2177","Aberdeen, Sir Duncan Rice Library","pi 61089 t",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},397991,,,,1,,,
liddel45,,,,0,,"Introductio. In divinam chemiae artem integra Magistri Boni Lombardi Ferrariensis physici",,"Bonus, Petrus#100050840",,,,,,,,Basel,,Henripectri,1572,,,Alchemie,,Book,lat,VD16,"B 6649","Aberdeen, Sir Duncan Rice Library","pi 5401 Bon",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},398330,,,,1,,,
liddel46,,,,1,,"Ygieine. Sanitatis conservatrix. Seu in sex Galeni libros de sanitate tuenda enarratio",,"Bording, Jacob#116248424",,,,,,,,Rostock,,Myliander,1591,,,Diätetik,,Book,lat,GBV,151551863,"Aberdeen, Sir Duncan Rice Library","pi 6104 Bor",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},858206,,,,1,,,
liddel47,,,,2,,"Iacobi Bordingi medici clarissimi : physiologia. Ygieine. Pathologia. Prout has medicinae partes in inclytis Academiis Rostochiensi & Haffniensi, publice enarravit",,"Bording, Jacob#116248424",,,,,,,,Rostock,,Myliander,1591,,,Medizin,,Book,lat,VD16,"B 6703","Aberdeen, Sir Duncan Rice Library","pi 6104 Bor",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},858203,,,,1,,,
liddel48,,,,0,,"Allgemeine Weltbeschreibung, : das ist: Eigentliche vn[d] warhafftige Erzehlung, aller der gantzen Welt vornembster Landschafften, Statten vnnd Volckern",,"Botero, Giovanni#118942824",,,,,,,,Köln,,Gymnich,1596,,,Geographie,,Book,ger,VD16,"B 6801","Aberdeen, Sir Duncan Rice Library","pi 91(00) Bot",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401621,,,,1,,,
liddel49,,,,1,,"De mundi aetherei recentioribus phaenomenis",,"Brahe, Tycho#118514237",,,,,,,,Uraniborg,,Weida,1588,,,Astronomie,,Book,lat,GBV,505354853,"Aberdeen, Sir Duncan Rice Library","pi 5204 Bra 1",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1196682,,,,1,,,
liddel50,,,,2,,"Tychonis Brahe Dani epistolarum astronomicarum libri",,"Brahe, Tycho#118514237",,,,,,,,Uraniborg,,Brahe,1596,,,Astronomie,,Book,lat;ger,GBV,151063265,"Aberdeen, Sir Duncan Rice Library","pi 5204 Bra 1",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},857493,,,,1,,,
liddel51,,,,0,,"Astronomiae instauratae progymnasmata. Pars 1",,"Brahe, Tycho#118514237",,,,,,,,Uraniborg,,Tampach,1610,,,Astronomie,,Book,lat,VD17,14:074208U,"Aberdeen, Sir Duncan Rice Library","pi 523 Bra 3",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},1196560,,,,1,,,
liddel52,,,,0,,"Hieronimi Brasauolae de officiis medicis libellus",,"Brasavola, Girolamo#100053793",,,,,,,,Ferrara,,Mamarellum,1590,,,Medizin,,Book,lat,GBV,143232304,"Aberdeen, Sir Duncan Rice Library","pi 615089 b",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},401250,,,,1,,,
liddel53,,,,0,,"Hausz Artzneybuchlein, gute gebreuchliche vnd bewerte Artzneyen, zu allerhand gebrechen desz gantzen Leibs fur den gemeinen Man",,"Brunschwig, Hieronymus#119238217",,,,,,,,"Frankfurt am Main",,"Bassée, Nicolas",1580,,,Pharmazie,,Book,ger,VD16,"B 8714","Aberdeen, Sir Duncan Rice Library","pi 61089 o",,,https://aulib.abdn.ac.uk/F?func=direct&local_base=ABN01&doc_number={ID},397962,,,,1,,,
